Country,ELEC,RNEW 
Afghanistan,97.7,19.98
Albania,100,41.91
Algeria,99.8,0.12
Andorra,100,18.39
Angola,48.2,52.88
Anguilla,100,0.77
Antigua and Barbuda,100,0.9
Argentina,100,9.24
Armenia,100,9.13
Aruba,100,8.76
Australia,100,12.32
Australia and New Zealand,100,14.56
Austria,100,36
Azerbaijan,100,1.32
Bahamas,100,1.11
Bahrain,100,0.02
Bangladesh,99,25.04
Barbados,100,5.46
Belarus,100,8.22
Belgium,100,11.68
Belize,97.7,26.56
Benin,42,54.52
Bermuda,100,0.9
Bhutan,100,81.81
Bolivia (Plurinational State of),98.6,12.76
Bosnia and Herzegovina,100,36.61
Botswana,73.7,27.36
Brazil,99.5,46.48
British Virgin Islands,100,1.31
Brunei Darussalam,100,0.03
Bulgaria,99.8,20.38
Burkina Faso,19,71.16
Burundi,10.2,83.14
Cabo Verde,95.5,22.64
Cambodia,82.5,52.38
Cameroon,65.4,79.24
Canada,100,23.84
Caribbean,85.5,20.99
Cayman Islands,100,0.01
Central African Republic,15.7,90.92
Central America,98.7,21.15
Central and Southern Asia,98.9,26.61
Central Asia,99.9,3.23
Chad,11.3,69.9
Chile,100,24.17
China,100,15.21
"China, Hong Kong Special Administrative Region",100,0.42
"China, Macao Special Administrative Region",100,13.61
Colombia,100,29.7
Comoros,87.9,41.19
Congo,49.7,71.38
Cook Islands,100,8.76
Costa Rica,100,34.16
Côte d'Ivoire,71.1,58.17
Croatia,100,34.07
Cuba,100,20.91
Curaçao,100,2.75
Cyprus,100,15.63
Czechia,100,17.16
Democratic People's Republic of Korea,52.6,14.72
Democratic Republic of the Congo,20.8,96.33
Denmark,100,39.52
Djibouti,65.4,26.56
Dominica,100,8.83
Dominican Republic,98.1,14.82
Eastern Africa,46.9,82.92
Eastern and South-Eastern Asia,98.5,15.12
Eastern Asia,99.2,13.95
Eastern Europe,100,7.39
Ecuador,100,18.9
Egypt,100,6.11
El Salvador,97.9,21.91
Equatorial Guinea,66.8,5.25
Eritrea,52.5,80.66
Estonia,100,37.98
Eswatini,82.9,65.4
Ethiopia,54.2,90.63
Faroe Islands,100,5.08
Fiji,92.1,29.7
Finland,100,50.22
France,100,16.25
French Polynesia,100,7.44
Gabon,91.8,91.27
Gambia,63.7,48.58
Georgia,100,25.18
Germany,100,17.61
Ghana,86.3,39.05
Gibraltar,100,0
Greece,100,21.47
Greenland,100,11.64
Grenada,93.7,10.22
Guam,100,4.5
Guatemala,97.9,62.13
Guinea,46.8,66.85
Guinea-Bissau,35.8,87.37
Guyana,92.9,13.2
Haiti,47.2,76.72
Honduras,94.1,45.91
Hungary,100,15.3
Iceland,100,82.43
India,99.6,34.92
Indonesia,99.2,20.19
Iran (Islamic Republic of),100,0.91
Iraq,100,1.1
Ireland,100,12.69
Isle of Man,100,3.16
Israel,100,6.2
Italy,100,17.54
Jamaica,100,10.49
Japan,100,8.84
Jordan,99.9,11.5
Kazakhstan,100,1.99
Kenya,76.5,67.67
Kiribati,92.8,42.23
Kuwait,100,0.07
Kyrgyzstan,99.7,27.63
Landlocked developing countries (LLDCs),60.3,44.03
Lao People's Democratic Republic,100,51.53
Latin America and the Caribbean,98.3,32.28
Latvia,100,43.99
Least Developed Countries (LDCs),56.3,70.09
Lebanon,100,6.82
Lesotho,50.4,33.63
Liberia,29.8,93.19
Libya,70.2,3.12
Liechtenstein,100,53.61
Lithuania,100,33.22
Luxembourg,100,20.51
Madagascar,35.1,83.61
Malawi,14.2,71.08
Malaysia,100,7.48
Maldives,100,1.38
Mali,53.4,71.16
Malta,100,8.62
Marshall Islands,99.8,12.06
Mauritania,47.7,22.08
Mauritius,99.6,8.61
Mexico,100,12.97
Micronesia (Federated States of),83.6,2.08
Middle Africa,33.4,76.7
Mongolia,100,3.03
Montenegro,99.8,39.64
Morocco,100,10.9
Mozambique,31.5,76.86
Myanmar,72.5,62.86
Namibia,55.2,29.99
Nauru,100,1.65
Nepal,89.9,73.72
Netherlands (Kingdom of the),100,12.22
New Caledonia,100,8.33
New Zealand,100,28.85
Nicaragua,86.3,50.36
Niger,18.6,79.58
Nigeria,59.5,80.31
Niue,99.5,3.01
North Macedonia,100,19.48
Northern Africa,92.3,10.48
Northern Africa and Western Asia,94.4,5.96
Northern America,100,12.39
Northern Europe,100,30.93
Northern Mariana Islands,100,0.48
Norway,100,61.36
Oceania,81.3,16.06
Oceania (exc. Australia and New Zealand),38.3,38.66
Oman,100,0.1
Pakistan,94.9,41.56
Palau,100,0.87
Panama,95.3,27.96
Papua New Guinea,20.9,54.5
Paraguay,100,58.82
Peru,95.6,30.56
Philippines,97.5,28.03
Poland,100,15.2
Portugal,100,32.33
Puerto Rico,100,2.57
Qatar,100,0.03
Republic of Korea,100,3.65
Republic of Moldova,100,21.43
Romania,100,23.58
Russian Federation,100,3.54
Rwanda,48.7,79.37
Saint Kitts and Nevis,100,1.64
Saint Lucia,100,9.67
Saint Vincent and the Grenadines,100,4.98
Samoa,98.3,35.95
Sao Tome and Principe,78.5,40.75
Saudi Arabia,100,0.08
Senegal,68,35.42
Serbia,100,27.2
Seychelles,100,1.72
Sierra Leone,27.5,71.14
Singapore,100,1.1
Sint Maarten (Dutch part),100,0.05
Slovakia,100,17.9
Slovenia,100,23.39
Small island developing States (SIDS),77.3,18.49
Solomon Islands,76.3,49.13
Somalia,49.3,95.37
South Africa,89.3,9.7
South America,99.3,36.51
South Sudan,7.7,32.39
South-Eastern Asia,96.6,22.35
Southern Africa,86,11.61
Southern Asia,98.8,29.09
Southern Europe,100,20.63
Spain,100,18.96
Sri Lanka,100,48.8
State of Palestine,100,15.4
Sub-Saharan Africa,50.1,69.05
Sudan,61.8,60.98
Suriname,98.8,14.49
Sweden,100,57.9
Switzerland,100,27.69
Syrian Arab Republic,88.8,1.14
Tajikistan,99.6,34.89
Thailand,100,18.97
Timor-Leste,100,12.14
Togo,55.7,75.13
Tonga,100,1.77
Trinidad and Tobago,100,0.46
Tunisia,99.9,11.58
Türkiye,100,12.02
Turkmenistan,100,0.06
Turks and Caicos Islands,100,0.76
Tuvalu,99.7,5.04
Uganda,45.2,90.95
Ukraine,100,8.87
United Arab Emirates,100,1.01
United Kingdom of Great Britain and Northern Ireland,100,12.15
United Republic of Tanzania,42.7,78.31
United States of America,100,10.9
United States Virgin Islands,100,5.9
Uruguay,100,57.8
Uzbekistan,99.9,1
Vanuatu,70,24.64
Venezuela (Bolivarian Republic of),100,33.69
Viet Nam,100,24.23
Yemen,74.9,3.67
