GeoAreaName,Type of renewable technology,Units,2022
Africa,BIOENERGY,W_PER_CAPITA,1.3081
Africa,HYDROPOWER,W_PER_CAPITA,25.09364
Africa,SOLAR,W_PER_CAPITA,8.79402
Africa,WIND,W_PER_CAPITA,5.38977
Asia,BIOENERGY,W_PER_CAPITA,14.01943
Asia,HYDROPOWER,W_PER_CAPITA,124.90919
Asia,SOLAR,W_PER_CAPITA,132.9331
Asia,WIND,W_PER_CAPITA,92.79868
Australia,BIOENERGY,W_PER_CAPITA,33.32109
Australia,HYDROPOWER,W_PER_CAPITA,294.64332
Australia,SOLAR,W_PER_CAPITA,1133.76368
Australia,WIND,W_PER_CAPITA,403.2102
Northern America,BIOENERGY,W_PER_CAPITA,37.09818
Northern America,HYDROPOWER,W_PER_CAPITA,444.5027
Northern America,SOLAR,W_PER_CAPITA,314.0642
South America,BIOENERGY,W_PER_CAPITA,46.66449
South America,HYDROPOWER,W_PER_CAPITA,409.83812
South America,SOLAR,W_PER_CAPITA,75.13627
South America,WIND,W_PER_CAPITA,76.78482
World,BIOENERGY,W_PER_CAPITA,18.89716
World,HYDROPOWER,W_PER_CAPITA,157.45718
World,SOLAR,W_PER_CAPITA,133.1536
World,WIND,W_PER_CAPITA,112.73321
Europe,BIOENERGY,W_PER_CAPITA,58.1471
Europe,GEOTHERMAL,W_PER_CAPITA,2.29725
Europe,HYDROPOWER,W_PER_CAPITA,333.65778
Europe,MARINE,W_PER_CAPITA,0.32597
Europe,SOLAR,W_PER_CAPITA,305.0016
Europe,WIND,W_PER_CAPITA,326.10341
