Renewable2021	Electricity2021	GeoAreaCode	GeoAreaName	id	Continent	GDP
19.98	97.7	4	Afghanistan	AFG	Asia	378.0828919
41.91	100	8	Albania	ALB	Europe	6281.046775
0.12	99.8	12	Algeria	DZA	Africa	3700.320562
0.39	-100	16	American Samoa	ASM	Oceania	-100
18.39	100	20	Andorra	AND	Europe	42065.97076
52.88	48.2	24	Angola	AGO	Africa	2026.030952
0.77	100	660	Anguilla	AIA	North America	19106.06093
0.9	100	28	Antigua and Barbuda	ATG	North America	16740.3482
9.24	100	32	Argentina	ARG	South America	10775.99984
9.13	100	51	Armenia	ARM	Asia	4972.786412
8.76	100	533	Aruba	ABW	North America	29127.75939
12.32	100	36	Australia	AUS	Oceania	67616.30121
36	100	40	Austria	AUT	Europe	53720.12527
1.32	100	31	Azerbaijan	AZE	Asia	5316.149936
1.11	100	44	Bahamas	BHS	North America	28260.36705
0.02	100	48	Bahrain	BHR	Asia	26860.07455
25.04	99	50	Bangladesh	BGD	Asia	2449.024978
5.46	100	52	Barbados	BRB	North America	17507.46799
8.22	100	112	Belarus	BLR	Europe	7274.227485
11.68	100	56	Belgium	BEL	Europe	51737.76027
26.56	97.7	84	Belize	BLZ	North America	6060.968224
54.52	42	204	Benin	BEN	Africa	1360.911474
0.9	100	60	Bermuda	BMU	North America	113524.8111
81.81	100	64	Bhutan	BTN	Asia	3560.197894
12.76	98.6	68	Bolivia (Plurinational State of)	BOL	South America	3345.023002
36.61	100	70	Bosnia and Herzegovina	BIH	Europe	7237.273787
27.36	73.7	72	Botswana	BWA	Africa	7238.796096
46.48	99.5	76	Brazil	BRA	South America	7696.78513
0.03	100	96	Brunei Darussalam	BRN	Asia	31448.91361
20.38	99.8	100	Bulgaria	BGR	Europe	12204.36863
71.16	19	854	Burkina Faso	BFA	Africa	904.47493
83.14	10.2	108	Burundi	BDI	Africa	298.1703494
22.64	95.5	132	Cabo Verde	CPV	Africa	3557.837775
52.38	82.5	116	Cambodia	KHM	Asia	1625.235021
79.24	65.4	120	Cameroon	CMR	Africa	1666.932809
23.84	100	124	Canada	CAN	North America	52456.71907
0.01	100	136	Cayman Islands	CYM	North America	88475.60235
90.92	15.7	140	Central African Republic	CAF	Africa	461.2649974
69.9	11.3	148	Chad	TCD	Africa	954.7115973
24.17	100	152	Chile	CHL	South America	16247.40102
15.21	100	156	China	CHN	Asia	12497.7495
29.7	100	170	Colombia	COL	South America	6183.787783
41.19	87.9	174	Comoros	COM	Africa	1577.470841
71.38	49.7	178	Congo	COG	Africa	2525.394509
8.76	100	184	Cook Islands	COK	Oceania	14526.15037
34.16	100	188	Costa Rica	CRI	North America	12537.25675
34.07	100	191	Croatia	HRV	Europe	17042.05712
20.91	100	192	Cuba	CUB	North America	11255.22936
2.75	100	531	Curaçao	CUW	North America	14393.31274
15.63	100	196	Cyprus	CYP	Europe	33502.20374
17.16	100	203	Czechia	CZE	Europe	26809.80822
14.72	52.6	408	Democratic People's Republic of Korea	PRK	Asia	654.1480076
96.33	20.8	180	Democratic Republic of the Congo	COD	Africa	551.1269155
39.52	100	208	Denmark	DNK	Europe	69298.14952
26.56	65.4	262	Djibouti	DJI	Africa	3348.013391
8.83	100	212	Dominica	DMA	North America	7668.158132
14.82	98.1	214	Dominican Republic	DOM	North America	8476.749688
18.9	100	218	Ecuador	ECU	South America	5965.132871
6.11	100	818	Egypt	EGY	Africa	3898.01973
21.91	97.9	222	El Salvador	SLV	North America	4664.312503
5.25	66.8	226	Equatorial Guinea	GNQ	Africa	7506.667861
80.66	52.5	232	Eritrea	ERI	Africa	610.9843564
37.98	100	233	Estonia	EST	Europe	27990.62103
65.4	82.9	748	Eswatini	SWZ	Africa	3978.394074
90.63	54.2	231	Ethiopia	ETH	Africa	825.2221276
5.08	100	234	Faroe Islands	FRO	Europe	-100
29.7	92.1	242	Fiji	FJI	Oceania	4656.050592
50.22	100	246	Finland	FIN	Europe	53608.59388
16.25	100	250	France	FRA	Europe	44251.46535
7.44	100	258	French Polynesia	PYF	Oceania	20230.24114
91.27	91.8	266	Gabon	GAB	Africa	8635.356742
